First_voucher_since_1990,re_finds_per_year,total_find_since_1990,remaining
1990,32,32,1159
1991,15,47,1112
1992,71,118,1041
1993,28,146,1013
1994,28,174,985
1995,12,186,973
1996,3,189,970
1997,10,199,960
1998,19,218,941
1999,4,222,937
2000,6,228,931
2001,19,247,912
2002,10,257,902
2003,1,258,901
2004,11,269,890
2005,13,282,877
2006,4,286,873
2007,4,290,869
2008,13,303,856
2010,1,304,855
2011,2,306,853
2012,22,328,831
2013,2,330,829
2014,2,332,827
2015,13,345,814
2016,8,353,806
2017,6,359,800
2018,4,363,796
2019,10,373,786
2021,1,374,785
2023,1,375,784
2024,,375,784
