accepted_name,first_iNat_manual,last_iNat_manual,first_voucher_manual,last_voucher_manual,notes,count
Triticum aestivum,,,,,undated voucher,1
Boechera pendulocarpa,,,,,"vouchers indicated in Taylor, but not found",1
Calycadenia mollis,2019,2023,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",2
Calycadenia multiglandulosa,2023,2023,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Brasenia schreberi,2016,2016,,,"add, observations lost due to auto-obscured coordinates",1
Euphorbia serpillifolia,2017,2023,,,"add, observations lost due to inaccurate protected area polygon",3
Montia linearis,2022,2022,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Castilleja attenuata,2022,2022,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Gratiola ebracteata,2017,2017,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Veronica peregrina,2022,2022,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",2
Navarretia intertexta,2017,2019,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",3
Polygonum douglasii,2022,2022,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Verbascum virgatum,2021,2021,,,"add, observations lost due manually obscured coordinates",1
Viola arvensis,2018,2023,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",13
Alopecurus aequalis,2021,2021,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Platanthera colemanii,2022,2022,,,"add, observations lost due to auto-obscured coordinates",1
Ivesia shockleyi,2022,2022,,,"add, updated to RG on day of download ",1
Leptosiphon filipes,2019,2023,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",5
Leptosiphon liniflorus,2019,2019,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
Taeniatherum caput-medusae,2019,2019,,,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",1
