year,re_finds_per_year,total_re_finds_to_date,remaining
1990,47,47,1577
1991,14,61,1530
1992,5,66,1516
1993,20,86,1511
1994,17,103,1491
1995,11,114,1474
1996,5,119,1463
1997,28,147,1458
1998,132,279,1430
1999,53,332,1298
2001,2,334,1245
2002,31,365,1243
2003,98,463,1212
2004,82,545,1114
2005,171,716,1032
2006,130,846,861
2007,72,918,731
2008,49,967,659
2009,84,1051,610
2010,67,1118,526
2011,16,1134,459
2012,13,1147,443
2013,21,1168,430
2014,42,1210,409
2015,15,1225,367
2016,15,1240,352
2017,9,1249,337
2018,8,1257,328
2019,23,1280,320
2020,14,1294,297
2021,27,1321,283
2022,12,1333,256
2023,7,1340,244
2024,,,237
